archivo,lineas_agregadas,lineas_removidas,funciones_tocadas
core/efuse/rtw_efuse.c,2872,1064,
core/rtw_ap.c,5952,4215,
core/rtw_beamforming.c,2121,1244,
core/rtw_br_ext.c,814,913,
core/rtw_bt_mp.c,1575,1753,
core/rtw_btcoex.c,664,597,
core/rtw_cmd.c,3240,2330,
core/rtw_debug.c,5469,1705,
core/rtw_eeprom.c,96,190,
core/rtw_ieee80211.c,1337,1006,
core/rtw_io.c,390,174,
core/rtw_ioctl_query.c,3,176,
core/rtw_ioctl_set.c,460,1014,
core/rtw_iol.c,152,154,
core/rtw_mem.c,128,122,
core/rtw_mlme.c,3471,2406,
core/rtw_mlme_ext.c,8090,7576,
core/rtw_mp.c,2114,1649,
core/rtw_odm.c,472,276,
core/rtw_p2p.c,2462,3069,
core/rtw_pwrctrl.c,1419,1175,
core/rtw_recv.c,2984,3026,
core/rtw_rf.c,1827,442,
core/rtw_security.c,1831,2305,
core/rtw_sreset.c,320,369,
core/rtw_sta_mgt.c,758,413,
core/rtw_tdls.c,3486,3306,
core/rtw_vht.c,754,419,
core/rtw_wapi.c,1320,1326,
core/rtw_wapi_sms4.c,922,923,
core/rtw_wlan_util.c,3172,2523,
core/rtw_xmit.c,3703,2401,
hal/HalPwrSeqCmd.c,185,182,
hal/efuse/efuse_mask.h,181,80,
hal/efuse/rtl8192e/HalEfuseMask8192E_PCIE.c,94,101,
hal/efuse/rtl8192e/HalEfuseMask8192E_PCIE.h,34,42,
hal/efuse/rtl8192e/HalEfuseMask8192E_USB.c,98,106,
hal/efuse/rtl8192e/HalEfuseMask8192E_USB.h,30,38,
hal/hal_btcoex.c,3889,1390,
hal/hal_com.c,11382,4179,
hal/hal_com_c2h.h,98,9,
hal/hal_com_phycfg.c,4970,3166,
hal/hal_dm.c,1902,202,
hal/hal_dm.h,119,26,
hal/hal_hci/hal_usb.c,231,166,
hal/hal_intf.c,1655,466,
hal/hal_mp.c,2634,2176,
hal/hal_phy.c,91,119,
hal/led/hal_usb_led.c,4290,5183,
hal/phydm/halhwimg.h,137,123,
hal/phydm/mp_precomp.h,24,20,
hal/phydm/phydm.c,3751,2231,
hal/phydm/phydm_adaptivity.c,847,943,
hal/phydm/phydm_adaptivity.h,126,172,
hal/phydm/phydm_antdect.c,888,964,
hal/phydm/phydm_antdect.h,78,98,
hal/phydm/phydm_antdiv.c,6157,4806,
hal/phydm/phydm_antdiv.h,536,576,
hal/phydm/phydm_beamforming.h,363,365,
hal/phydm/phydm_cfotracking.c,618,347,
hal/phydm/phydm_cfotracking.h,74,68,
hal/phydm/phydm_debug.c,6023,2030,
hal/phydm/phydm_debug.h,484,331,
hal/phydm/phydm_dfs.c,2149,137,
hal/phydm/phydm_dfs.h,191,62,
hal/phydm/phydm_dig.c,3456,2084,
hal/phydm/phydm_dig.h,375,327,
hal/phydm/phydm_dynamictxpower.c,769,633,
hal/phydm/phydm_dynamictxpower.h,142,98,
hal/phydm/phydm_features.h,80,123,
hal/phydm/phydm_hwconfig.c,1641,3333,
hal/phydm/phydm_hwconfig.h,79,506,
hal/phydm/phydm_interface.c,1480,1014,
hal/phydm/phydm_interface.h,328,442,
hal/phydm/phydm_noisemonitor.c,467,299,
hal/phydm/phydm_noisemonitor.h,48,49,
hal/phydm/phydm_pathdiv.c,1115,2311,
hal/phydm/phydm_pathdiv.h,145,324,
hal/phydm/phydm_pre_define.h,990,615,
hal/phydm/phydm_precomp.h,627,320,
hal/phydm/phydm_rainfo.c,2396,2574,
hal/phydm/phydm_rainfo.h,323,445,
hal/phydm/phydm_reg.h,243,208,
hal/phydm/phydm_regdefine11ac.h,109,90,
hal/phydm/phydm_regdefine11n.h,220,199,
hal/phydm/phydm_types.h,413,258,
hal/phydm/rtl8192e/hal8192ereg.h,1116,1104,
